ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-05-22,49.664637093770494,49.943944268222246,73.17314133364637,49.664637093770494,49.664637093770494,12.650892486193712,12.650892486193712,12.650892486193712,0.0067135550275743035,0.0067135550275743035,0.0067135550275743035,12.644178931166138,12.644178931166138,12.644178931166138,0.0,0.0,0.0,62.315529579964206
2018-05-23,49.661937907759565,52.8212173019598,75.3794151923874,49.661937907759565,49.661937907759565,14.009388371517964,14.009388371517964,14.009388371517964,0.8592786545176291,0.8592786545176291,0.8592786545176291,13.150109717000337,13.150109717000337,13.150109717000337,0.0,0.0,0.0,63.67132627927753
2018-05-24,49.659238721748636,53.059391079341324,75.77558231681523,49.659238721748636,49.659238721748636,14.604023374170009,14.604023374170009,14.604023374170009,0.9794760799986996,0.9794760799986996,0.9794760799986996,13.62454729417131,13.62454729417131,13.62454729417131,0.0,0.0,0.0,64.26326209591865
2018-05-25,49.656539535737714,51.69240609529106,74.62188607732811,49.656539535737714,49.656539535737714,13.67061245065129,13.67061245065129,13.67061245065129,-0.3956572612261908,-0.3956572612261908,-0.3956572612261908,14.06626971187748,14.06626971187748,14.06626971187748,0.0,0.0,0.0,63.327151986389005
2018-05-26,49.653840349726785,51.02245347640868,74.0185629632934,49.653840349726785,49.653840349726785,13.035514649426876,13.035514649426876,13.035514649426876,-1.4390651605096705,-1.4390651605096705,-1.4390651605096705,14.474579809936547,14.474579809936547,14.474579809936547,0.0,0.0,0.0,62.689354999153664
2018-05-27,49.651141163715856,53.02784619622643,77.23088295621321,49.651141163715856,49.651141163715856,14.983640931665553,14.983640931665553,14.983640931665553,0.1343336062331514,0.1343336062331514,0.1343336062331514,14.849307325432402,14.849307325432402,14.849307325432402,0.0,0.0,0.0,64.63478209538141
2018-05-28,49.64844197770492,53.016659958928926,77.23288429460762,49.64844197770492,49.64844197770492,15.045722369494385,15.045722369494385,15.045722369494385,-0.1450794740404366,-0.1450794740404366,-0.1450794740404366,15.190801843534823,15.190801843534823,15.190801843534823,0.0,0.0,0.0,64.6941643471993
2018-05-29,49.64574279169399,52.95686107812279,76.70376147788454,49.64574279169399,49.64574279169399,15.506630313166973,15.506630313166973,15.506630313166973,0.006713555027511715,0.006713555027511715,0.006713555027511715,15.49991675813946,15.49991675813946,15.49991675813946,0.0,0.0,0.0,65.15237310486097
2018-05-30,49.64304360568306,54.621877693236115,78.21120981880459,49.64304360568306,49.64304360568306,16.63726321361972,16.63726321361972,16.63726321361972,0.8592786545169904,0.8592786545169904,0.8592786545169904,15.777984559102727,15.777984559102727,15.777984559102727,0.0,0.0,0.0,66.28030681930278
2018-05-31,49.64034441967213,54.81173357977056,78.54022504897254,49.64034441967213,49.64034441967213,17.00625998919397,17.00625998919397,17.00625998919397,0.9794760799993418,0.9794760799993418,0.9794760799993418,16.026783909194627,16.026783909194627,16.026783909194627,0.0,0.0,0.0,66.6466044088661
