ObservationDateTime,Temperature(F),Pressure(mb),PrecipDay(in),PrecipYr(in),WindSpeed(mph),WindDirection_West,WindDirection_South,WindDirection_East,RelativeHumidity,Visibility(mi),Conditions_Scattered,Conditions_Overcast Sky,Conditions_Low Visibility,Conditions_Broken Sky,Month_Jan,Month_Feb,Month_Mar,Month_Apr,Month_May,Month_Jue,Month_Jul,Month_Aug,Month_Sep,Month_Oct,Month_Nov,Month_Dec
2018-05-12 22:55:00+00:00,54.0,1019.65,0.0,4.44,9.2,0.0,0.0,0.0,0.82,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-13 04:55:00+00:00,50.0,1016.94,0.0,4.44,6.9,0.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-13 10:55:00+00:00,52.0,1016.26,0.0,4.44,4.6,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-13 16:55:00+00:00,61.0,1017.27,0.0,4.44,3.4,0.0,0.0,0.0,0.825,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-13 22:55:00+00:00,66.0,1011.86,0.0,4.44,10.4,0.0,0.0,1.0,0.883,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-14 04:55:00+00:00,55.0,1015.24,0.0,4.44,0.0,0.0,0.0,0.0,0.937,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-14 10:55:00+00:00,61.0,1013.21,0.0,4.44,5.7,0.0,0.0,0.0,0.938,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-14 16:55:00+00:00,75.0,1013.55,0.0,4.44,10.4,0.0,1.0,0.0,0.692,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-14 22:55:00+00:00,88.0,1008.81,0.0,4.44,4.6,0.0,1.0,0.0,0.458,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-15 04:55:00+00:00,68.0,1010.16,0.0,4.44,3.4,0.0,1.0,0.0,0.883,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-15 10:55:00+00:00,66.0,1011.86,0.0,4.44,3.4,0.0,1.0,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-15 15:50:00+00:00,68.0,1015.58,0.0,4.44,6.9,0.0,0.0,0.0,0.83,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-15 22:55:00+00:00,68.0,1015.58,0.0,4.44,11.5,0.0,0.0,0.0,0.642,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-16 04:55:00+00:00,55.0,1016.6,0.0,4.44,5.7,0.0,0.0,0.0,0.627,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-16 10:55:00+00:00,52.0,1016.26,0.0,4.44,4.6,0.0,0.0,0.0,0.766,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-16 16:55:00+00:00,77.0,1016.26,0.0,4.44,5.7,0.0,0.0,0.0,0.473,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-16 22:55:00+00:00,79.0,1014.23,0.0,4.44,8.1,0.0,0.0,0.0,0.319,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-17 04:55:00+00:00,57.0,1015.92,0.0,4.44,0.0,0.0,0.0,0.0,0.823,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-17 10:55:00+00:00,52.0,1016.26,0.0,4.44,0.0,0.0,0.0,0.0,0.936,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-17 16:55:00+00:00,79.0,1017.61,0.0,4.44,6.9,0.0,0.0,1.0,0.418,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-17 22:55:00+00:00,72.0,1016.26,0.0,4.44,12.7,0.0,0.0,0.0,0.466,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-18 04:55:00+00:00,55.0,1017.95,0.0,4.44,6.9,0.0,0.0,0.0,0.769,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-18 10:55:00+00:00,57.0,1017.27,0.0,4.44,5.7,0.0,0.0,0.0,0.823,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-18 16:55:00+00:00,73.0,1016.6,0.0,4.44,11.5,0.0,0.0,1.0,0.534,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-18 22:55:00+00:00,63.0,1014.23,0.0,4.44,4.6,0.0,0.0,0.0,0.775,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-19 04:55:00+00:00,63.0,1012.87,0.0,4.44,6.9,0.0,0.0,1.0,0.881,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-19 10:55:00+00:00,61.0,1011.52,0.0,4.44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-19 16:55:00+00:00,68.0,1012.53,0.0,4.44,6.9,1.0,0.0,0.0,0.83,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-19 22:55:00+00:00,73.0,1012.19,0.0,4.44,4.6,0.0,0.0,0.0,0.691,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-20 04:55:00+00:00,64.0,1015.24,0.0,4.44,3.4,0.0,0.0,1.0,0.882,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-20 10:55:00+00:00,50.0,1019.31,0.0,4.44,8.1,0.0,0.0,0.0,0.875,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-20 16:55:00+00:00,50.0,1022.69,0.0,4.44,15.0,0.0,0.0,0.0,0.818,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-20 22:55:00+00:00,57.0,1020.66,0.0,4.44,8.1,0.0,0.0,0.0,0.77,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-21 04:55:00+00:00,52.0,1021.34,0.0,4.44,6.9,0.0,0.0,0.0,0.819,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-21 10:55:00+00:00,55.0,1019.98,0.0,4.44,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-21 16:55:00+00:00,61.0,1018.63,0.0,4.44,5.7,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-21 22:55:00+00:00,72.0,1015.24,0.0,4.44,0.0,0.0,0.0,0.0,0.941,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-22 04:55:00+00:00,64.0,1015.24,0.0,4.44,4.6,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-22 10:55:00+00:00,63.0,1015.58,0.0,4.44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-22 16:50:00+00:00,70.0,1018.29,0.0,4.44,5.7,0.0,0.0,0.0,0.78,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
